Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
</>,</>,</>,<>JHV0T1782J4J1XXMR82</>,<>15-1051.00</>,<>Computer Systems Analysts</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV0T1782J4J1XXMR82</>,<>https://api.careerbuilder.com/v1/job?DID=JHV0T1782J4J1XXMR82&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Richfield</>,<>41.2397</>,<>-81.64802</>,<>6/28/2014 1:13:41 AM</>,<>$105k - $125k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV0T1782J4J1XXMR82</>,<>IT Business Systems Analyst Consultant</>,<>IsExternal</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>software development</Skill>
        <Skill>microsoft word</Skill>
        <Skill>microsoft powerpoint</Skill>
        <Skill>systems analyst</Skill>
        <Skill>microsoft visio</Skill>
      </>"
<>John Hopkins University</>,<>cht2wc6w2shlw1q68zm</>,<>http://www.careerbuilder.com/jobs/company/cht2wc6w2shlw1q68zm/john-hopkins-university?sc_cmp1=13_JobRes_ComDet</>,<>JHM6ZQ6SVVMXT2K9677</>,<>15-1071.01</>,<>Computer Security Specialists</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM6ZQ6SVVMXT2K9677</>,<>https://api.careerbuilder.com/v1/job?DID=JHM6ZQ6SVVMXT2K9677&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>MD - Baltimore</>,<>39.29055</>,<>-76.6096</>,<>6/26/2014 1:04:45 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM6ZQ6SVVMXT2K9677</>,<>Career Opportunities in IT @ Johns Hopkins</>,<>CanBulkApply</>,"<>
        <Skill>sap erp</Skill>
        <Skill>epic</Skill>
        <Skill>SAP</Skill>
        <Skill>software development</Skill>
        <Skill>local area network</Skill>
        <Skill>systems engineering</Skill>
        <Skill>computer security</Skill>
      </>"
<>Compliance Signs</>,</>,</>,<>JHV40N5Z4MH7WCYN489</>,<>15-1099.12</>,<>Electronic Commerce Specialists</>,<>IT Marketing Assistant (eCommerce Project Manager) Job Description: Come grow your career with ...  As an IT Marketing Assistant / eCommerce Project...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV40N5Z4MH7WCYN489</>,<>https://api.careerbuilder.com/v1/job?DID=JHV40N5Z4MH7WCYN489&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IN - Indianapolis</>,<>39.76691</>,<>-86.14996</>,<>7/25/2014 2:34:35 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV40N5Z4MH7WCYN489</>,<>IT Marketing Assistant (eCommerce Project Manager)</>,<>IsExternal</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>html</Skill>
        <Skill>database</Skill>
        <Skill>software development</Skill>
        <Skill>microsoft office</Skill>
        <Skill>ANSI</Skill>
        <Skill>electronic commerce</Skill>
      </>"
<>iMethods</>,<>cht11t67n3s2cmtb5f7</>,<>http://www.careerbuilder.com/jobs/company/cht11t67n3s2cmtb5f7/imethods?sc_cmp1=13_JobRes_ComDet</>,<>JHS0SY6CSVNK7PRH3BM</>,<>15-1051.00</>,<>Computer Systems Analysts</>,<>iMethods is currently seeking an IT Manager-HR Systems/PeopleSoft for a contract-to ...  Primary Responsibilities: The IT Manager is responsible for...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHS0SY6CSVNK7PRH3BM</>,<>https://api.careerbuilder.com/v1/job?DID=JHS0SY6CSVNK7PRH3BM&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Jacksonville</>,<>30.1865</>,<>-81.498</>,<>7/16/2014 10:27:09 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHS0SY6CSVNK7PRH3BM</>,<>IT Manager - HR Systems</>,<>CanBulkApply</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>microsoft access</Skill>
        <Skill>database</Skill>
        <Skill>software development</Skill>
        <Skill>microsoft project</Skill>
        <Skill>microsoft office</Skill>
        <Skill>sql</Skill>
        <Skill>database design</Skill>
        <Skill>peoplesoft hrms</Skill>
      </>"
<>Confidential</>,</>,</>,<>JB75BF6DZD6J6D912MW</>,<>11-3021.00</>,<>Computer and Information Systems Managers</>,"<>Job is located in Norwalk, CT. IT PROJECT CONTROLLER This position will have responsibility ...   management skills. Cost/Benefit Analysis &amp; Program...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB75BF6DZD6J6D912MW</>,<>https://api.careerbuilder.com/v1/job?DID=JB75BF6DZD6J6D912MW&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,"<>CT - Relocate to Norwalk, CT</>",<>41.76332</>,<>-72.67407</>,<>7/2/2014 3:29:16 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB75BF6DZD6J6D912MW</>,<>IT PROJECT CONTROLLER</>,<>CanBulkApply</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>database</Skill>
        <Skill>systems engineering</Skill>
        <Skill>disaster recovery</Skill>
      </>"
<>Confidential</>,</>,</>,<>JHQ5QZ6G7N9KJQ7MY13</>,<>11-3021.00</>,<>Computer and Information Systems Managers</>,<>IT PROJECT CONTROLLER This position will have responsibility for leading and managing User ...   management skills. Cost/Benefit Analysis &amp; Program /...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ5QZ6G7N9KJQ7MY13</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ5QZ6G7N9KJQ7MY13&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CT - Norwalk</>,<>41.11366</>,<>-73.40765</>,<>7/2/2014 3:28:55 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ5QZ6G7N9KJQ7MY13</>,<>IT PROJECT CONTROLLER</>,<>HasAOReview</>,"<>
        <Skill>systems architecture</Skill>
        <Skill>database</Skill>
        <Skill>systems engineering</Skill>
        <Skill>disaster recovery</Skill>
      </>"
</>,</>,</>,<>JHV2GJ64S3FCQW3SFN6</>,<>13-2011.02</>,<>Auditors</>,"<>IT Auditor Job Description Keystone Advisors, LLC, is seeking a IT Auditor for one of our ...  IT Auditor As a IT Auditor it is essential that you...</>",</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHV2GJ64S3FCQW3SFN6</>,<>https://api.careerbuilder.com/v1/job?DID=JHV2GJ64S3FCQW3SFN6&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>Washington DC</>,<>38.93652</>,<>-77.18428</>,<>7/8/2014 12:07:16 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHV2GJ64S3FCQW3SFN6</>,<>IT - Auditor</>,<>HasAOReview</>,"<>
        <Skill>Internal control</Skill>
        <Skill>COSO</Skill>
        <Skill>Audit</Skill>
        <Skill>COBIT</Skill>
        <Skill>Data security</Skill>
        <Skill>SOX</Skill>
        <Skill>Risk assessment</Skill>
        <Skill>Information technology management</Skill>
      </>"
<>Digital Staffing</>,<>chm4tq6pyb1lzgfsh88</>,<>http://www.careerbuilder.com/jobs/company/chm4tq6pyb1lzgfsh88/digital-staffing?sc_cmp1=13_JobRes_ComDet</>,<>JHS1HW6V0WM3V84YF1H</>,<>15-1061.00</>,<>Database Administrators</>,<>IT Manager A prestigious institution has an IT Manager position open. Company offers a ...  IT Manager IT Manager Requirements: Bachelor's Degree in...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHS1HW6V0WM3V84YF1H</>,<>https://api.careerbuilder.com/v1/job?DID=JHS1HW6V0WM3V84YF1H&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>IL - Chicago</>,<>41.88425</>,<>-87.63245</>,<>6/26/2014 3:07:44 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHS1HW6V0WM3V84YF1H</>,<>IT Manager IT Management Knowledge of Relational Databases Fantastic Company 3 Weeks Vacation</>,<>CanBulkApply</>,"<>
        <Skill>mysql</Skill>
        <Skill>oracle database</Skill>
        <Skill>database</Skill>
        <Skill>data warehouse</Skill>
        <Skill>daytime protocol</Skill>
        <Skill>sql</Skill>
        <Skill>scrum (development)</Skill>
      </>"
<>CHRISTIAN CARE MINISTRY</>,</>,</>,<>JHM7NN5Z6Y8XZN3H0D9</>,<>15-1099.11</>,<>Information Technology Project Managers</>,"<>IT PROJECT MANAGER Summary: The IT Project Manager is responsible for overseeing, coordinating ... </>",</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM7NN5Z6Y8XZN3H0D9</>,<>https://api.careerbuilder.com/v1/job?DID=JHM7NN5Z6Y8XZN3H0D9&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Melbourne</>,<>28.0786</>,<>-80.6027</>,<>7/21/2014 9:50:28 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM7NN5Z6Y8XZN3H0D9</>,<>IT Project Manager</>,<>CanBulkApply</>,"<>
        <Skill>finger protocol</Skill>
        <Skill>c (programming language)</Skill>
      </>"
<>Ashley Ellis</>,<>c8c2yx68v3nlcrnx096</>,<>http://www.careerbuilder.com/jobs/company/c8c2yx68v3nlcrnx096/ashley-ellis?sc_cmp1=13_JobRes_ComDet</>,<>JHM7TZ69D62XD134VDV</>,<>15-1071.01</>,<>Computer Security Specialists</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM7TZ69D62XD134VDV</>,<>https://api.careerbuilder.com/v1/job?DID=JHM7TZ69D62XD134VDV&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Orlando</>,<>28.53823</>,<>-81.37739</>,<>7/10/2014 1:10:41 AM</>,<>$100k - $120k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM7TZ69D62XD134VDV</>,<>IT Security Manager</>,<>IsExternal</>,"<>
        <Skill>computer security</Skill>
      </>"
