Company,CompanyDID,CompanyDetailsURL,DID,OnetCode,ONetFriendlyTitle,DescriptionTeaser,Distance,EmploymentType,EducationRequired,ExperienceRequired,JobDetailsURL,JobServiceURL,Location,LocationLatitude,LocationLongitude,PostedTime,Pay,SimilarJobsURL,JobTitle,ApplyRequirement,Skills
<>Kett Engineering</>,<>chr19c6d8fmp81sf8ks</>,<>http://www.careerbuilder.com/jobs/company/chr19c6d8fmp81sf8ks/kett-engineering?sc_cmp1=13_JobRes_ComDet</>,<>JHL6KM73PYK7B8592MW</>,<>15-1041.00</>,<>Computer Support Specialists</>,"<> Computer and Data Logger Technician in Maricopa, AZ. This position will be responsible for maintaining the ...  Maintain a database that includes all...</>",</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHL6KM73PYK7B8592MW</>,<>https://api.careerbuilder.com/v1/job?DID=JHL6KM73PYK7B8592MW&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>AZ - Maricopa</>,<>33.0073</>,<>-111.9324</>,<>7/20/2014 2:17:58 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHL6KM73PYK7B8592MW</>,<>Computer and Data Logger Technician</>,<>CanBulkApply</>,"<>
        <Skill>database</Skill>
        <Skill>microsoft office</Skill>
      </>"
"<>Hallmark TotalTech, Inc.</>",</>,</>,<>JHP4CF60P8C6VRWFY5Q</>,<>15-1041.00</>,<>Computer Support Specialists</>,"<>. Position Title: Junior Computer/Telecommunications Technician Location: Farmington, CT ...  . Entry level technical school graduate with a diploma...</>",</>,<>Full-Time/Part-Time</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHP4CF60P8C6VRWFY5Q</>,<>https://api.careerbuilder.com/v1/job?DID=JHP4CF60P8C6VRWFY5Q&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CT - Farmington</>,<>41.7251</>,<>-72.8318</>,<>7/17/2014 8:33:15 PM</>,<>$12.00 - $16.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHP4CF60P8C6VRWFY5Q</>,<>JUNIOR COMPUTER/TELECOM TECHNICIAN</>,<>HasScreener</>,"<>
        <Skill>voice over ip</Skill>
      </>"
<>ManTech International Corporation</>,<>c5h61876tlp6mry761t</>,<>http://www.careerbuilder.com/jobs/company/c5h61876tlp6mry761t/mantech-international-corporation?sc_cmp1=13_JobRes_ComDet</>,<>J3H4H55WJB349W8CV2N</>,<>15-1071.01</>,<>Computer Security Specialists</>,<> projects that offer opportunities for advancement. The Computer Forensics Analyst requires competency in ...   years experience in one or more of the...</>,</>,<>Full-Time</>,<>Not Specified</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3H4H55WJB349W8CV2N</>,<>https://api.careerbuilder.com/v1/job?DID=J3H4H55WJB349W8CV2N&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>VA - Quantico</>,<>38.52206</>,<>-77.29085</>,<>7/23/2014 2:25:17 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3H4H55WJB349W8CV2N</>,<>Computer Forensics Analyst (Law Enforcement)</>,<>IsExternal</>,"<>
        <Skill>x window system</Skill>
        <Skill>database</Skill>
        <Skill>penetration test</Skill>
        <Skill>mac os x</Skill>
        <Skill>Linux</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>computer security</Skill>
      </>"
<>Laurens School District 55</>,</>,</>,<>JHN10G6Y4CC72QX1RJ8</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,</>,<>Contractor</>,<>High School Diploma</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHN10G6Y4CC72QX1RJ8</>,<>https://api.careerbuilder.com/v1/job?DID=JHN10G6Y4CC72QX1RJ8&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>SC - Laurens</>,<>34.49442</>,<>-82.03826</>,<>7/22/2014 7:58:36 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHN10G6Y4CC72QX1RJ8</>,<>Computer System Engineer II</>,<>CanBulkApply</>,"<>
        <Skill>database</Skill>
        <Skill>local area network</Skill>
        <Skill>microsoft servers</Skill>
        <Skill>novell netware</Skill>
        <Skill>systems engineering</Skill>
        <Skill>computer security</Skill>
      </>"
<>Conversant</>,<>chs1vj5vsdb5kzltpr5</>,<>http://www.careerbuilder.com/jobs/company/chs1vj5vsdb5kzltpr5/conversant?sc_cmp1=13_JobRes_ComDet</>,<>J3H46463N5TC0S4F681</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",</>,<>Full-Time</>,<>Master's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3H46463N5TC0S4F681</>,<>https://api.careerbuilder.com/v1/job?DID=J3H46463N5TC0S4F681&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - San Francisco</>,<>37.77712</>,<>-122.41964</>,<>7/4/2014 5:07:06 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3H46463N5TC0S4F681</>,<>Software Engineer - Computer Vision (SET)</>,<>IsExternal</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>mapreduce</Skill>
        <Skill>software development</Skill>
        <Skill>Linux</Skill>
        <Skill>frame (networking)</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>machine learning</Skill>
        <Skill>c (programming language)</Skill>
        <Skill>c++</Skill>
      </>"
<>Conversant</>,<>chs1vj5vsdb5kzltpr5</>,<>http://www.careerbuilder.com/jobs/company/chs1vj5vsdb5kzltpr5/conversant?sc_cmp1=13_JobRes_ComDet</>,<>J3H78J5ZD2QSKYYJVHZ</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",</>,<>Full-Time</>,<>Master's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=J3H78J5ZD2QSKYYJVHZ</>,<>https://api.careerbuilder.com/v1/job?DID=J3H78J5ZD2QSKYYJVHZ&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>CA - San Francisco</>,<>37.77712</>,<>-122.41964</>,<>7/4/2014 5:07:05 AM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=J3H78J5ZD2QSKYYJVHZ</>,<>Sr. Software Engineer - Computer Vision (SET)</>,<>IsExternal</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>mapreduce</Skill>
        <Skill>software development</Skill>
        <Skill>Linux</Skill>
        <Skill>frame (networking)</Skill>
        <Skill>python (programming language)</Skill>
        <Skill>machine learning</Skill>
        <Skill>c (programming language)</Skill>
        <Skill>c++</Skill>
      </>"
<>Benchmark Senior Living</>,<>c8h29z71hbds1tnvlcb</>,<>http://www.careerbuilder.com/jobs/company/c8h29z71hbds1tnvlcb/benchmark-senior-living?sc_cmp1=13_JobRes_ComDet</>,<>JHQ6NQ73Z2BN9WM447B</>,<>21-1093.00</>,<>Social and Human Service Assistants</>,<> our residents and families on our computers as well as teaches residents and families about our ...  SKILLS AND ABILITIES Excellent computer skills...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHQ6NQ73Z2BN9WM447B</>,<>https://api.careerbuilder.com/v1/job?DID=JHQ6NQ73Z2BN9WM447B&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>ME - Yarmouth</>,<>43.8219</>,<>-70.1758</>,<>7/9/2014 1:27:41 PM</>,<>$12.00/hour</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHQ6NQ73Z2BN9WM447B</>,<>Computer Learning Teacher - Activity Assistant</>,<>CanBulkApply</>,</>
<>confidential</>,</>,</>,<>JHM88P6YDJ6QGXPGVG5</>,<>15-1041.00</>,<>Computer Support Specialists</>,<>The Computer Help Desk Support Specialist will be afront-line resource to personnel to ...  Provide the first response for technology issues related...</>,</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHM88P6YDJ6QGXPGVG5</>,<>https://api.careerbuilder.com/v1/job?DID=JHM88P6YDJ6QGXPGVG5&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>OH - Loveland</>,<>39.23</>,<>-84.2394</>,<>7/15/2014 10:11:49 AM</>,<>$47k - $55k/year</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHM88P6YDJ6QGXPGVG5</>,<>Computer Help Desk Support Specialist</>,<>CanBulkApply</>,"<>
        <Skill>microsoft excel</Skill>
        <Skill>microsoft word</Skill>
        <Skill>active directory</Skill>
        <Skill>software testing</Skill>
        <Skill>microsoft powerpoint</Skill>
        <Skill>microsoft windows</Skill>
      </>"
<>Diagnostic Centers of America</>,<>chv43x7264q03zw036w</>,<>http://www.careerbuilder.com/jobs/company/chv43x7264q03zw036w/diagnostic-centers-of-america?sc_cmp1=13_JobRes_ComDet</>,<>JHT21C6MLH54YF5RMW9</>,<>15-1071.00</>,<>Network and Computer Systems Administrators</>,<> computer science. Four to six years system/network administration experience. Complexity/Problem Solving ... </>,</>,<>Full-Time</>,<>Associate Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JHT21C6MLH54YF5RMW9</>,<>https://api.careerbuilder.com/v1/job?DID=JHT21C6MLH54YF5RMW9&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Boynton Beach</>,<>26.52798</>,<>-80.14045</>,<>7/8/2014 2:29:29 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JHT21C6MLH54YF5RMW9</>,<>Network and Computer Systems Administrator</>,<>HasAOReview</>,"<>
        <Skill>x window system</Skill>
        <Skill>dynamic host configuration protocol</Skill>
        <Skill>backup exec</Skill>
        <Skill>network administrator</Skill>
        <Skill>R</Skill>
        <Skill>vmware esx</Skill>
        <Skill>Android</Skill>
        <Skill>cisco systems</Skill>
        <Skill>local area network</Skill>
        <Skill>windows server</Skill>
        <Skill>routing protocol</Skill>
        <Skill>microsoft office</Skill>
        <Skill>vmware vsphere</Skill>
        <Skill>Linux</Skill>
        <Skill>active directory</Skill>
        <Skill>vmware</Skill>
        <Skill>voice over ip</Skill>
        <Skill>workflow</Skill>
        <Skill>microsoft windows</Skill>
        <Skill>virtual private network</Skill>
        <Skill>ESX</Skill>
        <Skill>symantec endpoint protection</Skill>
        <Skill>routing</Skill>
        <Skill>cisco hardware</Skill>
        <Skill>DNS</Skill>
        <Skill>computer security</Skill>
        <Skill>disaster recovery</Skill>
      </>"
<>Florida Keys Aqueduct Authority</>,</>,</>,<>JB73QK6WGQ8PKHYS0NJ</>,<>15-1031.00</>,"<>Computer Software Engineers, Applications</>",<>Senior Software Developer / IT Computer Applications Specialist Job Description At Florida ...  Successful candidates for the Senior Software...</>,</>,<>Full-Time</>,<>Bachelor's Degree</>,<>Not Specified</>,<>http://api.careerbuilder.com/v1/joblink?TrackingID=UNTRKD&amp;HostSite=US&amp;DID=JB73QK6WGQ8PKHYS0NJ</>,<>https://api.careerbuilder.com/v1/job?DID=JB73QK6WGQ8PKHYS0NJ&amp;HostSite=US&amp;DeveloperKey=WDHL7MB628RRNH2V6WJQ</>,<>FL - Key West</>,<>24.55444</>,<>-81.80037</>,<>7/17/2014 3:45:07 PM</>,<>N/A</>,<>http://www.careerbuilder.com/jobs/similarjobs.aspx?ipath=JELO&amp;job_did=JB73QK6WGQ8PKHYS0NJ</>,<>Senior Software Developer / IT Computer Applications Specialist</>,<>CanBulkApply</>,"<>
        <Skill>c-sharp</Skill>
        <Skill>database</Skill>
        <Skill>software development</Skill>
        <Skill>vb</Skill>
        <Skill>asp.net</Skill>
        <Skill>change management</Skill>
        <Skill>sql</Skill>
      </>"
